location,new_cases,new_deaths,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,DaysTotal_Days
Turkey,181298,4842,70.0166666666667,84339067,104.914,31.5999999999999,8.15300000000001,5.06099999999999,25129.341,0.2,171.285,12.13,14.1,41.0999999999999,,2.81,96
Turks and Caicos Islands,12,1,0,38718,37.3119999999999,,,,,,,,,,,,85
Uganda,724,0,79.5029545454546,45741000,213.759,16.4,2.168,1.308,1697.707,41.5999999999999,213.333,2.5,3.4,16.7,21.222,0.5,88
Ukraine,32476,912,79.2041666666667,43733759,77.3900000000001,41.4000000000001,16.462,11.133,7894.39300000001,0.1,539.849,7.11000000000001,13.5,47.4,,8.79999999999999,96
United Arab Emirates,42982,293,45.0988414634146,9890400,112.441999999999,34,1.144,0.526,67293.4829999998,,317.839999999999,17.2600000000001,1.2,37.3999999999999,,1.2,164
United Kingdom,298136,41969,38.2145294117647,67886004,272.898000000001,40.8000000000001,18.517,12.527,39753.244,0.2,122.137,4.27999999999998,20,24.6999999999999,,2.54000000000001,170
United States,2137731,116963,41.3319999999999,331002647,35.6080000000001,38.3000000000001,15.413,9.73199999999999,54225.4460000002,1.2,151.089,10.79,19.0999999999999,24.5999999999999,,2.76999999999999,170
United States Virgin Islands,73,6,0,104423,306.48,42.1999999999999,18.601,10.799,,,273.669999999999,12.26,,,,,85
Uruguay,849,24,60.1163157894737,3473727,19.751,35.5999999999999,14.655,10.361,20551.409,0.1,160.708,6.92999999999999,14,19.9,,2.8,95
Uzbekistan,5561,19,78.8665957446808,33469199,76.134,28.2,4.469,2.873,6253.104,14,724.417000000001,7.57000000000001,1.3,24.7,,4,94
Vatican,12,0,0,809,,,,,,,,,,,,,95
Venezuela,3150,27,78.0919999999998,28435943,36.253,29,6.614,3.915,16745.022,8.9,204.85,6.47000000000002,,,,0.799999999999999,95
Vietnam,335,0,50.6830588235294,97338583,308.127,32.6000000000001,7.15,4.71799999999999,6171.88399999999,2,245.464999999999,6,1,45.8999999999999,85.8469999999999,2.60000000000001,170
Western Sahara,23,1,0,597330,,28.4,,1.38,,,,,,,,,53
Yemen,889,215,44.9260869565217,29825968,53.5079999999999,20.3,2.922,1.583,1479.147,40.9,495.003,5.35000000000001,7.60000000000001,29.2,49.542,0.700000000000001,69
Zambia,1405,11,46.1092307692307,18383956,22.9949999999999,17.7,2.48,1.542,3689.25099999999,57.5,234.499,3.94,3.1,24.7,13.938,2,91
Zimbabwe,394,4,71.3461797752809,14862927,42.7289999999999,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,89
